Number,Operation Code,References
0x0000,Reserved,[RFC5494]
0x0001,REQUEST,[RFC826][RFC5227]
0x0002,REPLY,[RFC826][RFC5227]
0x0003,request Reverse,[RFC903]
0x0004,reply Reverse,[RFC903]
0x0005,DRARP-Request,[RFC1931]
0x0006,DRARP-Reply,[RFC1931]
0x0007,DRARP-Error,[RFC1931]
0x0008,InARP-Request,[RFC2390]
0x0009,InARP-Reply,[RFC2390]
0x000A,ARP-NAK,[RFC1577]
0x000B,MARS-Request,[Grenville_Armitage]
0x000C,MARS-Multi,[Grenville_Armitage]
0x000D,MARS-MServ,[Grenville_Armitage]
0x000E,MARS-Join,[Grenville_Armitage]
0x000F,MARS-Leave,[Grenville_Armitage]
0x0010,MARS-NAK,[Grenville_Armitage]
0x0011,MARS-Unserv,[Grenville_Armitage]
0x0012,MARS-SJoin,[Grenville_Armitage]
0x0013,MARS-SLeave,[Grenville_Armitage]
0x0014,MARS-Grouplist-Request,[Grenville_Armitage]
0x0015,MARS-Grouplist-Reply,[Grenville_Armitage]
0x0016,MARS-Redirect-Map,[Grenville_Armitage]
0x0017,MAPOS-UNARP,[Mitsuru_Maruyama][RFC2176]
0x0018,OP_EXP1,[RFC5494]
0x0019,OP_EXP2,[RFC5494]
0xFFFF,Reserved,[RFC5494]
